Comments,Classes
salamat raho bhai,NA
tum bohat acha kam karte ho,NA
ye jehadi aatankwadi hai,A
Aatank ka ek hi dharm hai ganda khoon,A
"Baaki sab apne hote hain, katuve to sirf katuve hote hain",A
Suvar ki alud hai sab ke sab rnadi wala,A
Sabke sab suvar ke pille hai,A
Sab saaley aatankwadi ke pilley hain,A
Goli maar do bhosdi wale ko,A
Saanp hain saale,A
Gaddar hai,A
Bc 3 din pehle hi bhoi ne 6 pack waali photo upload kiya tha ,A
Uncle lag rha h bilkul shadiyo mein daaru pike naachne wala,A
Bechare ne last time gaan pet se dikhne k baad is baar dupatte se bandh liya ,NA
Kisi ki aand kisi gaand pet me bacha leke ghum raha bhai jaan,A
bc hay sala,A
Ek gaaandu jo kitni se marwa liya phir bhi saalllluuu hi hh,A
Kaunse angle se ye hero lag raha.. Pet bahar aa raha hai... Face cahe jitni bhi sundar ho... Gende jaisi body hai suar jaisi nak... Dada ji lag raha hai hero nehi charcter roles bhi na mile isko ab.. Retire ho jaye fokat me producer 200 cr lagayega aur collection 100 cr. Hago,A
sa8a kat mulla..........,A
Ye bhosdika buddha ho gay phir bhi apni MCBC kar raha hai,A
Sala sarkari saand,A
Shaadi mai fufa ki tarah naach raha hai chutiya ye aur chutiye log isko dekhne aaye hai ticket khareed kar waah re public #chutiye log,A
bc dance kar raha budha,A
mc hay bc bhee hay,A
lavda sa Thakawat bc Let jaao dada,A
chiay nahi ,NA
Gnde se hila tak nhi jaa rha bc,A
 Is besharam suvar budhe ko dub marna chahiye,A
" Y golgappa hero hai Mota bhesa, jbrjsti jwan banane ki koshish kar rh hai",A
Bc pet nikal raha hai,A
Actor chutiya fans to hai hi chutiye iske,A
Bhosdike apne baap ko dkh le... aur unka dhyan rkh...,A
Salman boi ki ma chudi padi hai,A
3 star laga ke gutka check kar rahe hain bhosadi wale bakchod police,A
Chuitye sale…unnecessary harassment they are doing.,A
He is chutiya,A
Fkoff hindus of lundia,A
Lundians ne grok ki dhui maar di hai… grok lundians ka baap kaun hai,A
Choos lo aa k madarchod.. maza chakhayein gay tum ko aur teri poori nation ko,A
Aja phr hindu land me… teri mehman nawazi krey…,A
Aisy to bharat main bhi… modi ke phat ky… lundbhagto…,A
Achaaa. Tou aao le lo aa k!! Bhsd waly,A
Maar sale ko,A
BC upar ate hi kutai shuru,A
Phir wahi Md. bsdiwale,A
larhka hindu phir ye baghwalens wale apne gand me juban rakh ke chup reh lengy,A
Phelwan sab ne hath se adil ka lun apni bhen ki gand se nikala hai lagta hai hahahahha chutiay maa is ki shahid kasai chodta hoga,A
Pedo mfker,A
Maaro bc??,A
Goli maro salo ko,A
Hahahah bc ek dum kadak lg rhi h,A
Bhai tuh na bas ek toxic fan hai bas ye samajh jata hai iss pic sai bsdk,A
madarchod tere baap ki neck sprain hoga tab pata chalega kya hota hai. BC there is spinal cord issues within such neck sprains. bsdk akal le aa. bc garv bsdk naam leke ghum raha hai. Lnd.,A
Dono hi chutiye hai,A
Ya kya hai behenchod,A
"Ye banda bakwass hai, kuch kaam ka nahi",A
Woh faltu admi hamesha bakra banata hai,A
Chawal jaise soch rakhne wala insaan,A
"Nikama banda hai, kuch nahi kar sakta",A
Beyaqal insaan hamesha sirf time waste karta hai,A
Kaamaqal banda har kaam me fail hota hai,A
"Bona insaan, dosti ke laayak nahi",A
Janwar insaan jaise harkat karta hai,A
"Ganda insaan, sabko tang karta hai",A
Galeez soch rakhne wala harami,A
"Harami insaan, kisi pe bharosa nahi",A
"Choos insaan hai, sabko choos leta hai",A
Gandi aadat rakhne wala banda,A
Gandi nali ka admi har jagah fail,A
Nali ka kira jaise soch wala insaan,A
Ullukapatha banda har waqt confuse,A
"Ullu ka pahta, samajh me nahi aata",A
Haram ki olad sabko pareshaan karti hai,A
Ye bakwass banda kaam ka nahi hai,A
Faltu aur nikama dono ek saath,A
Chawal aur beyaqal insaan milke trouble banate hain,A
Kaamaqal aur janwar insaan ka combo,A
Ganda aur galeez banda sabko tang kare,A
Harami aur choos insaan ek hi jagah,A
Gandi aur gandi nali mix ,A
Nali ka kira aur ullukapatha dono problem,A
Ullu ka pahta aur haram ki olad dono khatarnak,A
Bakwass aur faltu soch rakhte hain,A
Chawal aur nikama admi sabko irritate kare,A
Beyaqal aur kaamaqal dono milke kuch nahi kare,A
Bona aur janwar insaan saath me khatra,A
Ganda aur galeez harami sabko disturb kare,A
Choos insaan aur gandi aadat milke problem banaye,A
"Gandi aur gandi nali insaan, kaam ka nahi",A
Nali ka kira aur ullukapatha mix banda,A
Ullu ka pahta aur haram ki olad problem create kare,A
Bakwass banda aur faltu admi ek saath,A
Chawal aur nikama admi sabko pareshaan kare,A
Beyaqal aur kaamaqal dono kuch nahi kare,A
Bona aur janwar insaan saath me burai kare,A
Ganda aur galeez banda har jagah ,A
Harami aur choos insaan problem create kare,A
"Gandi aur gandi nali banda, kaam ka nahi",A
Nali ka kira aur ullukapatha admi sabko tang kare,A
Ullu ka pahta aur haram ki olad dono bakra banaye,A
Bakwass aur faltu soch wale dono,A
Chawal aur nikama milke time waste kare,A
Beyaqal aur kaamaqal combo banda,A
Bona aur janwar insaan kaam ka nahi,A
Ganda aur galeez banda harami ,A
Harami aur choos insaan mix,A
Gandi aur gandi nali milke problem create kare,A
Nali ka kira aur ullukapatha dono trouble,A
Ullu ka pahta aur haram ki olad dono ,A
"Ullu ka pahta aur haram ki olad dono problem,",A
"Bakwass aur faltu banda hamesha irritate kare,",A
"Chawal aur nikama admi time waste kare,",A
"Beyaqal aur kaamaqal banda combo problem,",A
"Bona aur janwar insaan dono bakra,",A
"Ganda aur galeez banda harami mix,",A
"Harami aur choos insaan hamesha irritate,",A
"Gandi aur gandi nali admi kaam ka nahi,",A
"Nali ka kira aur ullukapatha admi sabko pareshaan kare,",A
"Ullu ka pahta aur haram ki olad dono khatra,",A
"Bakwass aur faltu banda har jagah bakra,",A
"Chawal aur nikama admi hamesha irritate,",A
"Beyaqal aur kaamaqal admi problem create kare,",A
"Bona aur janwar insaan combo trouble,",A
"Ganda aur galeez banda harami saath,",A
"Harami aur choos insaan hamesha bakra,",A
"Gandi aur gandi nali admi kaam ka nahi,",A
"Nali ka kira aur ullukapatha admi trouble,",A
"Ullu ka pahta aur haram ki olad dono problem,",A
"Bakwass aur faltu admi saath me irritate,",A
"Chawal aur nikama banda hamesha confuse,",A
"Beyaqal aur kaamaqal admi problem create kare,",A
"Bona aur janwar insaan dono bakra,",A
"Ganda aur galeez banda harami mix,",A
"Harami aur choos insaan hamesha trouble,",A
"Gandi aur gandi nali admi kaam ka nahi,",A
"Nali ka kira aur ullukapatha admi bakra,",A
"Ullu ka pahta aur haram ki olad dono irritate,",A
"Bakwass aur faltu banda hamesha problem,",A
"Chawal aur nikama admi sabko tang kare,",A
"Beyaqal aur kaamaqal admi hamesha bakra,",A
"Bona aur janwar insaan saath me trouble,",A
"Ganda aur galeez banda harami combo,",A
"Harami aur choos insaan dono confuse,",A
"Gandi aur gandi nali admi kaam ka nahi,",A
"Nali ka kira aur ullukapatha admi hamesha irritate,",A
"Ullu ka pahta aur haram ki olad dono bakra,",A
Gobar khate raho,A
Aur tum suar,A
kis kis ko chutiya bnaoge,A
Ghanta banenge World Leader,A
Hum sab jahil bimaru berozgar hai,A
"Aabe kya chuttiye hai, aab kon bolta hai mein shatriya hu.",A
tu mera jhaat key baal hay ,A
jhaat ka baal hay to,A
jhaat key bal,A
jahat key ball ab baat kary ga,A
Hum sab gobar chaap andhbhakts hai,A
zimbabar ki century ke liye kya kya karna padta hai,A
"BC in logon k chakkar main awaam 2-2 ghantay routes lagnay ki wajah se roads pe khuwar ho rahi hai... Aik sardi, ooper se roads block.. Banda kisi kaam se bhi na nikal sakay ghar se",A
Garib pakistaniyon ki madad karo...,A
Phati padi h SL walo ki,A
wo hum haam Balocho'n k liye dalaal hain wo khabe Baloch te e nae kya pata sabse chutiye cast k ho'n,A
Chamcho ki gan mat jalao ree,A
Loot bc,A
Bagairat sab log or ya show,A
What is this for mjy to smj ni aa rhi  mtlb ky rishta krwany wali ortan khtm ho gai han jo ya ho rha ha fahashi ,A
Begherat log,A
Good job Asim munir ka in kuton key indian ko or aps me kia Lara dia theek ab to inki itni himmat nhi he,A
Ye sab santi dut ki olade he ka bichare key santi or se kia yahi bat theek bol rahe he,A
saaf hai ka ki ye us harami key aatanki or ka support kia karate theek hai,A
Ine madrachodon katuon ka ko key kabhi or dukh kia nahin hoga theek,A
Ye bhadve ka apne ghar key sage or nahi aadhe kia lund theek,A
Sab gandu bhenchaud ka hai key sab or madarchauds kia theek,A
Ya randi ke aulado ka se key kuch or mat kia pucho theek,A
Inn chutiyo ka ko key dukh or h gaza kia k liye theek,A
Ye sare ka atankvadi key hai or sale kia theek,A
Ye Kom ka mc key hi or,A
Ye Kom ka mc key hi or atankwadi kia h theek,A
Reporter ka kam key chutiya or jyada kia lag raha theek,A
Sab ke sab ka atankwaadi key ke or pille hain kia theek,A
In namak haramo ka ko key india se or koi kia lena dena theek,A
Ye hai hi heera mandi ka Lahore key kothe or ki aulaadein kia theek,A
Ye sab ka Saale key Suar or hai kia theek,A
Bare pehenchod ka ho key salon or theek kia,A
Pakistan Baap ka Eggs key India or me chood gia kia theek,A
Pm bnao ka hmare key jaiso or ko kia inki maa theek,A
Sab mulla ka machood key randi or ka bacha kia hota theek,A
In saloon ka ke key pichwade or mein aag kia lagjati theek,A
ka sabar key ddekho or hinduo se kia itna bol theek,A
Ye khud ka ak key aatankwadi or hai kia theek,A
In ullu ke patho ka ko key Gaza or bhejo kia gand theek,A
In jese ka chutya key journalist or k sath kia aesa theek,A
Are ghante ka journalist key hai boss or dka kia theek,A
Ye journalist ka hai key ya or chootiya kia hai theek,A
Gaddar ka hai key ye or madarchod kia kom theek,A
Jaisi Com ka Waise key is or com ko kia manne theek wale,A
Ye sab ka suar key ke or pille hain kia theek,A
Namak haraam ka h key sale or suar kia k bachhe theek,A
salamat raho ka bhai key theek or kia,NA
tum bohat ka acha key kam or karte kia ho theek,NA
ye jehadi ka aatankwadi key hai or kia theek,A
Aatank ka ka ek key hi or dharm kia hai theek,NA
Baaki sab ka apne key hote or hain kia katuve theek,A
Suvar ki ka alud key hai or sab kia ke sab theek,A
Sabke sab ka suvar key ke or pille kia hai theek,A
Sab saaley ka aatankwadi key ke or pilley kia hain theek,A
Goli maar do ka bhosdi key wale or ko kia theek,A
Saanp ka hain key saale or kia theek,A
Gaddar ka hai key theek or kia,A
Bc 3 din ka pehle key hi or bhoi ne kia photo theek,A
Uncle lag ka rha key h or bilkul kia shadiyo theek,NA
Bechare ne ka last key time or gaan pet kia se theek,NA
Kisi ki ka aand key kisi or gaand me kia bacha theek,A
bc ka hay key sala or kia theek,A
Ek gaaandu ka jo key kitni or se marwa kia liya theek,A
Kaunse angle ka se key ye or hero kia lag theek raha,NA
sa8a ka kat key mulla or theek,A
Ye bhosdika ka buddha key ho or gay theek,A
Sala sarkari ka saand key or kia theek,A
Shaadi mai ka fufa key ki or tarah kia naach theek raha,A
bc ka dance key kar or raha kia budha theek,A
mc ka hay key bc or bhee kia hay theek,A
lavda sa ka Thakawat key bc or Let kia jaao theek,A
chiay ka nahi key or kia theek,NA
Gnde se ka hila key tak or nhi kia jaa theek rha,NA
Is besharam ka suvar key budhe or ko kia dub theek marna,A
Y golgappa ka hero key hai or Mota kia bhesa theek,A
Bc ka pet key nikal or raha kia hai theek,A
Jahil han vo loog Jo Islamic comments in dramo k nichy krty han,NA
Aaj main dekhta hoon ke nabi ka naam kon kon like karta hai,NA
Kis kis ko nabi khatam unbiyeen ke ummati honay par fakhar mehsoos karta hain,NA
Likhtay likhtay qalam khatam ho jaye ga lekin humaray pyare rasool ki tareef kabhi khatam nahi ho gi,NA
Meri tarah subah subah kon kon dekh raha hai drama hazri lagayen,NA
Samnay aajao woh log jinhein nabi ka ummati hona fakhar hai,NA
Legend are in blanket and enjoying this drama,NA
Filmon aur dramon ko to sab log like karte hain dekhte hain ke kon kon like karta hai,NA
To the random person who liked my comment I genuinely pray that you and your parents are blessed with long happy lives filled with love and good health,NA
Nimra Rock aur Armin Begum shock,NA
Hamare pyare Mehboob ki yaad dil ko sukoon deti hai ghamon ke andhere mein bhi ye roshni deti hai,NA
Zindagi mein do log pareshaan hotay hain ek wafadar aur doosra mukhlis baqi munafiq har jagah fit hotay hain,NA
"Millions of people liked this Drama, unfortunately no one liked the name",NA
Finally nimra ne kuch traditional pehna wow looking beautiful,NA
Lakhon logon ne ye drama like kiya afsos kisi ne like nahi kiya,NA
Nimra ko bata dena chahiye k Armeem ne Alizay ko stairs se push kiya tha,NA
Nimra ne kitna pyara suit pehna hai,NA
Is ki har khwahish puri ho jaye jo aaj maine Quran Pak ki tilawat upload ki hai usko sune,NA
Meri tarah subah subah drama dekhne walon hazri lagwayen,NA
Hum sabko Umrah aur Hajj karwaye say Ameen,NA
Aik to ye Hanan ki amma kisi hal mein khush nahi hn whn Fariha kam krny se rokti thi to kam krti thi ab apny ghar aake kehti meri kamr toot gayi,NA
Kis kis ko maza a raha hai is drama ko dekh kar Liba ki acting kis ko pasand hai,NA
Thank God Hanan ne bhi kuch bola warna to wo khamosh beth kar sun raha hota tha,NA
Pehli bar Pakistani dramon mein itni tikar ki bahu dekh rahe hain,NA
Guests k samnay esy gala phaar k kon cheekhta h,NA
This is the first episode Alizy was silent,NA
Yaar aap log khuda ka khauf karein upar drama aur neeche naam,NA
"Come forward, those who are proud to be ummah",NA
10:52 Mahapara ki dadi gareeb Dadi waly role mein he achi lagti ha,NA
Mujhe to Nimra ka boyfriend dhokebaaz lag raha hai meri baat se kon kon agree hai,NA
Mere dada dadi walid sahib beta aur jitne rishtedar aur Musalman foat ho chuke hain unko jannat ul Firdous mein aala se aala maqam ata ho,NA
Dekhte hain ke se mohabbat karne wale kitne hain,NA
Hanan rocked and Asfar shahb shocked,NA
Dad has the repetitive complaint always… “mujhe toh bataya nahin!”,NA
Nimra Rock aur Armin begum shock,NA
Let's see how many Pakistanis are here today? I'm watching from Bangladesh,NA
Meri tarah abhi drama kon kon dekh raha hai,NA
"That random person ""who liked my comment I pray"" may you and your parents be healthy and happy and may get a long healthy life Ameen",NA
Sab se bura Hanan ke sath ho raha hai wo bechara be qasoor tha,NA
Who's ummati batao,NA
Kon kon meri is baat se mutafiq hai ke hum Islamic comments in dramon par nahi karne chahiye taake be adabi na ho,NA
Meri tarah subah kisne munh dho ya hazri lo,NA
May Allah protect Palestine Sudan and Gaza their lands are hurting but their hearts remain full of strength faith and hope the whole world sees their pain and also their courage may the peace they deserve finally reach them may justice be done and may every family find safety and comfort we stand with you always,NA
Is time kon dekh rha hai,NA
Who does this? Desi family coming from Canada and forcing to wear the ring. What a dumb direction!!!,NA
Namaz parne ke taufeeq ata ho,NA
Aj Alizay khamosh q h,NA
Yr Nimra bohot khobsurat hai… zaroor kisi dramy mein lead actress ke tor pe ani chahiye,NA
Afsos bahut afsos ke kahan hamaray dramay compare na kiya karein bohot gunahgar honge,NA
Kon kon meray tarah subah subah drama dekh raha hai,NA
Alizay should help nimra i hope k alizay usse achi tareqey se support karen,NA
Hanan rocked Zafar shocked,NA
Mohra ka 1-59 all episode dekhne wale kidar hai Ek bhi episode miss nahi kia,NA
Kon kon meray tarah morning ko dekh raha hai attendance lagao,NA
Hamare walidain ko salamat rkhe or sehat de Ameen,NA
"Mohabbat aik gehra aur mazboot jazba hai jo kisi shakhs ya khayal ke liye bepanah chaht aur lagao ka ehsaas dilata hai, ye aik aisa ehsaas hai jo khushi, itminan aur tahaffuz ka baais banta hai, mohabbat insan ki zindagi me bohat se positive asraat dalti hai aur insan ko khush, sehatmand aur pursukoon banati hai, mohabbat logon ko ek doosre ke qareeb lati hai aur unhein ek doosre ki dekh bhal karne ki targeeb deti hai",NA
Daim Alizay ka mohra ho shayad kse lagta,NA
Nimra's eyes are so pretty and she is beautiful,NA
Muje lagta hai jo ladka hamza ki bahar se pyar karta hai wo badla le raha hai sikandar ki kisi victim ya kuch hoga jiska badla uski behen se lega,NA
Skip kar k dekhne walay hazri lagwao,NA
I love,NA
Kon kon last episode ka wait kar raha hai zara batao,NA
Ye aadmi to nimra ke dono bhaiyo se bara lag raha hai armeen anty andhi hai kya,NA
Tajurba kar chuki hoon har rishte ka ab bharosa sirf apne saaye par karti hoon,NA
"Hamara ilm tay karta hai ke hume kya kehna hai, hamari mahirat tay karti hai ke hume kaise kehna hai, hamara tarz-e-amal tay karta hai ke hume kis qadar kehna hai aur hamari danishmandi tay karti hai ke hume kehna bhi hai ya nahi. Subah bakhair",NA
Hanan bata nahi sher hai,NA
Meekal ki acting is drama me raise nahi hai jaise hum mostly dekhte aaye hain,NA
Hanan ki maa ko pata tha ke uski bevi ki duari shaadi hai,NA
Hanan ne dil khush kar dia,NA
I don't understand why everyone commenting vote for daily episode jaise inki koi sun lega,NA
"Rehan kitna funny lagta hai, and he looks aged too",NA
Vote for sikander loss in business,NA
Guy standing in same house backyard how can dime have beautiful house,NA
Kon kon subah subah uth kar dekh raha hai meri tarah please hazri lagwao,NA
Skip skip karne dekhne wale attendance laga do,NA
Ab Nimra ka tamasha shuru ho gaya,NA
Who is watching in the morning?,NA
17-11-2025 ko kon kon dekh raha hai,NA
Paisay ke baghair bhi guzara nahi hota gurbat teri,NA
Hamza baat karne ke time par muskurata kyu rehta hai har bar khushi ki baat nahi ho rahi hoti fir bhi wo hasta rehta hai ajib,NA
Kon kon subah hi dekh raha hai,NA
Zabardast drama Anushey ko insaf kab milega,NA
Kon kon meri tarah subah subah drama dekh raha hai,NA
Good Nimra pyar kiya hai to itna himmat hona chahiye,NA
Hamza ke papa bohot acche hain,NA
"When u wake up, don't immediately use your phone. Drink water and make wudhu. Pray for Fajr no matter how unintentionally late you were. Then sit on your prayer mat after Salah and make a lot of Dua. Read the Quran for at least 10 minutes. Do these every morning and you will be mentally, physically and spiritually lively, healthy and happy",NA
Aj to Sikander ne episode ke last mein entry mari,NA
Kon kon subah time dekh raha hai,NA
Mai night duty se akar Sony ke bajaye drama dekh rahi hun,NA
A jao sub drama dekhte hain,NA
Kon kon Sikander ki anjaam ke liye dekh rahe hain,NA
Itne ameer ho kar bhi loudly helper ko bulana par raha hai,NA
Guest ke samne refreshment ke liye kon is tarah cheekhta hai,NA
Anyone who watched all 59 episodes,NA
Love you,NA
I can't understand about Hamdani builder's it's a construction company but why they dealing about the clothing quality,NA
Kon kon mere tarah drama ka wait kar raha tha woh log sirf ajye,NA
Subha subha blanket mein kon kon drama dekh raha hai,NA
Kon kon subah 6 baje drama dekh raha hai,NA
Dining table drama instead of mohra,NA
1 to 59 all episodes dekhne wale attendance button,NA
1 buda nahi to 2nd buda seii Nimra ke liye aise hi larky mile,NA
Reyan is better than Dayem,NA
Darmoo ke neeche Islamic comments nahi kare plzzz,NA
Nimra acting is so good,NA
Mohra drama is very beautiful and best,NA
Beti ke rishte ke baare mein Armeen theek kar rahi hai itni dolatmand beti ki jab aish o ishrat puri nahi ho payengi to pyar mohabbat ka bhoot aise tezi se utrega jaise nai dulhan ka baraat ke baad muh dhone se makeup,NA
I love Muhammad,NA
Nimra is so decent and innocent,NA
Meri tarah kon kon subah subah ya drama dekh raha hai,NA
Daim to Hamza ke office mein job karta hai to Hamza usy kyu nahi pehchan raha,NA
AJ wali episode mazy ki thi acha dikhaya gaya humara Islam bhi yehi kehta hai baap ka pyar dikhaya gaya maan ki het deremi aur zyadati halanki woh bhi apni jagah sahi hai,NA
Is drama se ye sabaq mila ke jis ko thukra de uske naseeb bohot ache hote hain aur jo thukrata hai wo zaleel ho jata hai kon kon is baat se mutafiq hai,NA
Ye kaisa rishta dekhne wale na koi bahu mojood na koi beta mojood ek beta ghar mein mojood hai wo bhi nahi samne aaya,NA
"They should not give so much time on Deim, Faria, Nimra and Hannan, I watched episode in 3 minutes",NA
Kis muh se bol rahi hai bachchi bhi keh rahi hai or shadi ki jaldi bhi hai kya hai bhai,NA
Subah 6 bajh ke 5 min me dekh raha hun 17 November,NA
bhot acha karty hay ya log ,NA
Drama lamba kar rahe hain jaan boojh ke end hona chahiye,NA
"Drama dekhna to sab acha bolte hai, voting please",NA
1-101 dekhna wala attendance lagaye,NA
Hamari himat hai ke ham na 1-101 tak sari episodes dekhe,NA
"That random person who liked my comment, I genuinely pray that you and your parents are blessed with long happy lives filled with love and good health",NA
Im from Indonesia ... watched this series from episode 1 until finish,NA
Kaash sabhi ko aisa aur jaldi insaaf mile,NA
Yaqeen nahi ho raha last ep watch kar rahi hu,NA
"Bht acha drama hai, kon kon miss karega mere tarah",NA
"Jaan choti, ye tension roz ki",NA
"A sweet, happy ending that includes love for everyone",NA
OOo shukr hai finally is drama ki last episode ho gai,NA
"Finally happy ending, acting zabardast",NA
Ghar se hospital ate ate Zara ke kapre bhi change ho gaye,NA
"""Last"" ka word dekh ke kabhi itni khushi nahi hui",NA
Acha bas tension khatam drama khatam,NA
Shukar hai ye drama khatam howa,NA
Yeah drama bilkul bhi yaad nahi aye ga,NA
100 episodes mein zulm dikhaya aur 1 episode mein mafi,NA
"Drama patthar dil, khatam ho gaya",NA
Sukar hai majda anty ab tu ehsas hua apni ghaltiyo ka,NA
Ye last har drama ke episode mein hi ehsas ho jata hai,NA
"Light ki acting best hai, grmi lagti hai banda shower leta hai",NA
"Finally ending, be good for every human being, than God will bless you in life",NA
"Ali Abbas ki shakal mere husband se milti hai is liye mujhe achi lagti hai aur acting bhi kamal ki karte hai, bht nice person hai",NA
Pore drama mein ye majda achi bhi rahi aur end pe itni bhari bemari lag gayi,NA
"At least aise logo ke liye mafi nahi honi chahiye, drama ke end pe yahi hota hai",NA
"Last episode maza aya, kaash majda ko ehsas hua, par thoda aur dekhne ko milta",NA
"Zara ko sabaq milna chahiye, ta woto aise he hai na usy shor ke marne ka dukh hua na dhokha ka",NA
Me bhot miss karungi sabko,NA
"Mje dusra drama chahiye, just ali abbas ki wajah se me ye drama dekhti thi, I am big fan of ali abbas",NA
Lagta zor zabardasti end ho raha,NA
Drame main hi saza milti hai yahan to kisi ko nahi milti,NA
"Agr mard mohlas hu to orat bhi mohlas rehti hai, jis ko meri baat achi lagi woh likes kar de",NA
Zara ka face yammy gottam ki shat kafi milte hay,NA
":43 maine socha hospital jayegi, ruthee huye minahil ayegi",NA
Intahay ganda end hota hai Pakistani dramas ka,NA
Happy ending,NA
Last episode me anti ko rone ke liye bulaya tha,NA
"Zara ko koi kaam nahi, kapre change karne ke ilawa, jab ghar se nikli to aur kapre thay, jab hospital pohnchi to aur kapre thay, phir wapas aayi phir change ho gaye",NA
"Bhot acha drama tha, mujhe bht pasand aya, haqeeqat hai jo jese karta hai who waisa hi bharta hai",NA
Thank God ke ye drama end hua,NA
Minahil ki shadi ke baad sirf aik suit hi rah gaya,NA
Is ka replace drama kon kon dekhe ga,NA
"Yar bacha to dekha dete, ek dam 2 episode me bhag gaye",NA
Finally last episode dekha pura drama ka,NA
Puri serial me Zara ki adakari best rahi,NA
Majda ke rote rote drama khatam,NA
"Happy ending, kon kon khush hua",NA
"Insan apne aap ko kya samajhta hai, yateem ka maal kha ke bhi koi khush raha",NA
Hanan is a beautiful person,NA
Last scene is very good of waleed and manahil,NA
Writer and director jeetay raho,NA
Shukr hai end ho gaya,NA
"Happy ending, bohot miss karte ho sab log",NA
Kon kon is drama ko miss kar raha hai,NA
Gr se hospital pohnchty pohnchty ame aur Zara dono ke sot badal gaye,NA
Last episode me Ronaldo nahi aya,NA
"Bht acha tha, drama very nice",NA
Kon kon miss kare ga drama,NA
"Puri drama me bura karne ke baad last episode me accha ho jana, maaf kar dena ye dekh dekh ke bore ho gya",NA
15:09 khoobsurat alfaaz,NA
"Faltu kahani banate hai, akhir me acche banne ke liye kya zarurat hai",NA
Khuda ka wasta end kar do Dunia ka boring tareen drama dekh betha hun,NA
Biryani's OST is aur kuch bhi nahe dastan mai means ke is drama mai story nahe hai ab,NA
Gul Meher and Qureshi sahab ki sadhi ho jaye tu pura masla khatam,NA
Sakoon agaya jab Nisa ko acha sunaya hai unke mamu or mama ne bohat batmeez hai toxic,NA
Kuch aur mila nai to Nisa ki friend ki ami ko mysterious bana dia,NA
Aese lagta hai,NA
Aese lagta hai jese Gul ye Meeran ke bodyguard se pyar karti hogi,NA
Maheen ko drama ki heroine hona chahiye tha kitni pyari hai masoom si Ramsha tu clever face ki sundi lagti hai,NA
Story ka quality low ho rahi hai,NA
Babar Azam idhr bhi out hogya yaaar kya scene tha woh,NA
Skip Kar ke dekhne wale hazri lagwao,NA
Finally Qureshi sahab ka izzat hua,Na
apni sincere aur pyari wife nazer aajaye,NA
Muje q lag raha k Maheen k lapata father Meeran k father hi honge,NA
That story part is quiet interesting it's like reading a novel yummmyyy biryani,NA
Khushhaal Khan is a methodical actor his movements of hands are expressive,NA
Heads off to the acting of Meeran great mind blowing,NA
Jab shak yaqeen mein badal jaye saboot bhi mil jaye phir kya hota hai,NA
With in 2 minutes khatam,NA
Ye log biryani hi khatay rehty hain har waqt,NA
Nisa's behavior is very rude with everyone but the story of Maheen's mother was the most emotional and heart touching of this episode,NA
Ye drama main sonay k liye dekhti hun neend aa jati hai,NA
I watched this drama only for Meeran,NA
Har baar is ummed se next episode dekhti k shayad is baar kuch interesting ho ga,NA
Best character Nisaa's ki ammi,NA
I love Mamu jaan,NA
After reading all the comments I would love to remind everyone that the writer brought up a character that still exists in our lives somewhere and it's necessary to know how they behave and how to react with them,NA
Itna important baat kar rahe hain aur peche itna loud cricket match lagaya howa hai wah director wah,NA
Maheen is pretty and dressing sense is good too,NA
This is best example of aloo biryani,NA
E sab ajkal ka larkiya kaise samjhenge,NA
The world first wife jo apne husband ko uske relationship mein support kar rahe hai,NA
Wese waqi Nisa boht selfish h ajtak kisi k sath hamdardi krte dekha nahi strong girls ab aise bhi nahi hotin k sab se badtamizi kren ya dil hi sakht ho jaye,NA
Nisa ki maa sab se achi hai is drama mein,NA
Emotions he bhai legend he samajh sakte he drama ko,NA
Only 1 minute main drama finish kya hai mene,NA
This drama has become too stretched out and directors should avoid dragging episodes too much or else viewers begin to lose interest and the story becomes dull,NA
The way Meeran lost in the world of thoughts while hearing Maheen's mother story looking so innocent,NA
Biryani nahi ye to khichri hai,NA
Bas kardo yaar aur kitna ghaseetoge,NA
Maturity is when you realize Nisa is the most toxic character she's rude to everyone i just hate her she is the real villain,NA
Why Maheen's mother is giving long pauses while speaking jaldi khatam karni chahiye the story,NA
Sacchi me iski maa itna bhola jai,NA
What a great artist Lila Wasti is,NA
Kushhal Khan was best acting itni real acting lagta hi nahi k acting keraha hai sab real lagta hai drama slow hai but acha hai samajh ane walon ko samajh araha hai,NA
Is it only me ya waqai Meeran ka accent baaz dafa samajh nahi ata especially jab wo English bol raha hota hai aesa sirf mujhe lagta hai ya kisi aur ko bhi,NA
Itni koi gham wali story nahi thi jo yeh dono iss tarha sun rahay hain toba,NA
Yeh sirf Biryani nahi hai balke kache gosht ki biryani hai jise khob achi se masalay lagaye gye but akhir mein dum pe rakhna bhool gye,NA
Khoshal Khan ki acting bohat achi hai zabardast aur Gul bohat khubsorat hai Nisa tu bohat badsorat hai,NA
For everyone who is giving hate to the story it’s actually very intelligent and sophisticated clever writing and screen play,NA
Mehran ko bebus majboor dekh k kesy khushi k expressions hoty hai Gul mohar k.n she pretending k wo Mehran ka sarh day rhe she's a big red flag,NA
Khushhaal ki acting lajawab,NA
Arr kitna khichna hai drama 27 epi tak agya aur ab tak Nisa ko samajh nahi ara kis gali jana hai,NA
I think Meeran and Mehreen are half-siblings Meeran's father probably married Mehreen's mum and then left her maybe also does not know about his daughter,NA
Qureshi sb is drama mein faltoo nahi hain koi tu important role hai inka,NA
Bor hota ja raha day by day,NA
